scene,safe_product,archive_path,residual_experiment_scope,final_decision,reason
20200120_S2A,S2A_MSIL2A_20200120T030021_N0500_R032_T48MXU_20230630T045625.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20200120T030021_N0500_R032_T48MXU_20230630T045625.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20200310_S2A,S2A_MSIL2A_20200310T025541_N0500_R032_T48MXU_20230419T202133.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20200310T025541_N0500_R032_T48MXU_20230419T202133.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20200419_S2A,S2A_MSIL2A_20200419T025551_N0500_R032_T48MXU_20230531T070949.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20200419T025551_N0500_R032_T48MXU_20230531T070949.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20200628_S2A,S2A_MSIL2A_20200628T025551_N0500_R032_T48MXU_20230415T004357.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20200628T025551_N0500_R032_T48MXU_20230415T004357.SAFE,YES,SCENE_REJECTED,Initial screening: Full valid-water Cycle-0 negative pixels 20.00% exceed the fixed 5% image-QC limit
20200728_S2A,S2A_MSIL2A_20200728T025551_N0500_R032_T48MXU_20230414T083054.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20200728T025551_N0500_R032_T48MXU_20230414T083054.SAFE,YES,RETAIN_CYCLE0,Residual glint was not supported by the complete 30-ROI gate
20201115_S2A,S2A_MSIL2A_20201115T030001_N0500_R032_T48MXU_20230303T020603.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20201115T030001_N0500_R032_T48MXU_20230303T020603.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20210305_S2A,S2A_MSIL2A_20210305T025611_N0500_R032_T48MXU_20230606T141701.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20210305T025611_N0500_R032_T48MXU_20230606T141701.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20210424_S2A,S2A_MSIL2A_20210424T025541_N0500_R032_T48MXU_20230520T151954.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20210424T025541_N0500_R032_T48MXU_20230520T151954.SAFE,YES,RETAIN_CYCLE0,Residual glint was not supported by the complete 30-ROI gate
20210514_S2A,S2A_MSIL2A_20210514T025541_N0500_R032_T48MXU_20230401T145029.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20210514T025541_N0500_R032_T48MXU_20230401T145029.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20210812_S2A,S2A_MSIL2A_20210812T025551_N0500_R032_T48MXU_20230129T233447.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20210812T025551_N0500_R032_T48MXU_20230129T233447.SAFE,YES,RETAIN_CYCLE0,Known-injection recovery failed; Cycle 1 not authorized
20220320_S2A,S2A_MSIL2A_20220320T025551_N0510_R032_T48MXU_20240523T200029.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20220320T025551_N0510_R032_T48MXU_20240523T200029.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20220628_S2A,S2A_MSIL2A_20220628T025541_N0510_R032_T48MXU_20240629T122415.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20220628T025541_N0510_R032_T48MXU_20240629T122415.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20220708_S2A,S2A_MSIL2A_20220708T025541_N0510_R032_T48MXU_20240616T123811.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20220708T025541_N0510_R032_T48MXU_20240616T123811.SAFE,YES,RETAIN_CYCLE0,Residual glint was not supported by the complete 30-ROI gate
20220807_S2A,S2A_MSIL2A_20220807T025541_N0510_R032_T48MXU_20240717T023315.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20220807T025541_N0510_R032_T48MXU_20240717T023315.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
20220906_S2A,S2A_MSIL2A_20220906T025541_N0510_R032_T48MXU_20240718T043341.SAFE,H:\Sentinel-2\Tidung\L2A\S2A_MSIL2A_20220906T025541_N0510_R032_T48MXU_20240718T043341.SAFE,NO,NOT_IN_STRICT_33_SCENE_EXPERIMENT,Not included in the previously frozen clear-scene candidate set; no final product exported
